# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = real_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = real_data.R
# init = 2 (Default)
# random
#   seed = 4174009954
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,V_hat.1.1,V_hat.2.1,V_hat.3.1,V_hat.4.1,V_hat.5.1,V_hat.6.1,V_hat.1.2,V_hat.2.2,V_hat.3.2,V_hat.4.2,V_hat.5.2,V_hat.6.2,V0s.1,V0s.2,j,i,LL
# Adaptation terminated
# Step size = 0.0560406
# Diagonal elements of inverse mass matrix:
# 0.745958, 0.999055, 0.532509, 0.400807, 0.901723, 0.626497, 0.0095346, 6.28627
66.8842,0.968271,0.0560406,5,63,0,-62.5178,0.958308,0.33976,0.540482,0.914214,2.16403,0.611306,0.589125,0.000757695,0.958308,0.33976,2.16403,0.540482,0.914214,0.611306,0,0,0,0,0,0,0.00382154,0.011173,0.0321676,0.142433,0.441484,0.6706,0,0.000757695,6,1,0.289486
68.0124,0.854394,0.0560406,4,15,0,-63.7366,1.21738,0.256312,0.492763,0.684621,2.53388,0.481988,0.620418,0.00378016,1.21738,0.256312,2.53388,0.492763,0.684621,0.481988,0,0,0,0,0,0,0.0162736,0.0419276,0.101859,0.297067,0.527653,0.616202,0,0.00378016,6,1,5.61677
67.153,0.820596,0.0560406,5,31,0,-61.5124,1.82152,0.197362,0.384719,1.28414,2.01676,-0.0945991,0.692551,0.00258126,1.82152,0.197362,2.01676,0.384719,1.28414,-0.0945991,0,0,0,0,0,0,0.00815074,0.0174653,0.0371149,0.110755,0.295839,0.504051,0,0.00258126,6,1,-1.72972
62.8629,0.630751,0.0560406,6,127,0,-52.086,0.00593953,1.69353,0.243575,0.635913,1.13425,0.716022,0.919719,0.0345867,0.00593953,1.69353,1.13425,0.243575,0.635913,0.716022,0,0,0,0,0,0,0.0678493,0.103505,0.152856,0.252164,0.366976,0.438487,0,0.0345867,6,1,1.24468
62.1003,0.94065,0.0560406,5,31,0,-59.1437,0.00772069,1.36041,0.34495,0.725192,1.50756,0.69407,0.932341,0.0172203,0.00772069,1.36041,1.50756,0.34495,0.725192,0.69407,0,0,0,0,0,0,0.0464675,0.0870902,0.15511,0.314511,0.495379,0.58829,0,0.0172203,6,1,3.32663
66.9355,0.953486,0.0560406,6,127,0,-56.3052,0.218499,0.688628,0.261463,0.766481,2.29512,-0.266742,0.732713,0.0277963,0.218499,0.688628,2.29512,0.261463,0.766481,-0.266742,0,0,0,0,0,0,0.058382,0.0935908,0.145665,0.260254,0.406029,0.5022,0,0.0277963,6,1,3.08377
67.5935,0.868819,0.0560406,4,31,0,-60.603,0.220597,0.74773,0.258139,1.10544,2.03592,-0.173634,0.711103,0.0122282,0.220597,0.74773,2.03592,0.258139,1.10544,-0.173634,0,0,0,0,0,0,0.0261883,0.0431943,0.070522,0.142366,0.268416,0.386403,0,0.0122282,6,1,-2.60387
63.6856,0.91721,0.0560406,4,15,0,-59.3033,0.383146,1.1834,0.272992,1.18441,1.88903,0.388439,0.670158,0.0136734,0.383146,1.1834,1.88903,0.272992,1.18441,0.388439,0,0,0,0,0,0,0.0305664,0.0517962,0.0866636,0.179878,0.342106,0.488169,0,0.0136734,6,1,0.220753
65.512,1,0.0560406,5,63,0,-59.5565,0.020188,1.465,0.277908,0.521814,1.29082,0.39481,0.724626,0.0309656,0.020188,1.465,1.29082,0.277908,0.521814,0.39481,0,0,0,0,0,0,0.0661672,0.105417,0.159786,0.262972,0.365518,0.419035,0,0.0309656,6,1,1.68624
65.4183,0.99138,0.0560406,5,31,0,-62.4222,0.0165522,2.78282,0.234609,0.651758,0.517449,0.233942,0.74832,0.0306398,0.0165522,2.78282,0.517449,0.234609,0.651758,0.233942,0,0,0,0,0,0,0.0590994,0.0896195,0.13238,0.221622,0.332511,0.40721,0,0.0306398,6,1,0.555095
68.031,0.962869,0.0560406,5,63,0,-62.3792,0.105835,0.764237,0.30946,0.667447,0.277687,0.447674,0.770763,0.0154544,0.105835,0.764237,0.277687,0.30946,0.667447,0.447674,0,0,0,0,0,0,0.0377678,0.0668885,0.114384,0.229301,0.380282,0.474491,0,0.0154544,6,1,1.94836
69.8093,0.997486,0.0560406,6,63,0,-64.7089,0.565289,0.484777,0.299636,1.19812,2.97676,-0.284115,0.702215,0.00666393,0.565289,0.484777,2.97676,0.299636,1.19812,-0.284115,0,0,0,0,0,0,0.0162414,0.0292467,0.0522063,0.12061,0.258428,0.399769,0,0.00666393,6,1,-3.25285
70.0059,0.98637,0.0560406,4,31,0,-64.4042,0.624712,0.676312,0.271692,1.47775,2.90413,0.0720107,0.676875,0.00902201,0.624712,0.676312,2.90413,0.271692,1.47775,0.0720107,0,0,0,0,0,0,0.0202285,0.0344892,0.0584006,0.125692,0.256507,0.392484,0,0.00902201,6,1,-3.78374
68.6452,0.997445,0.0560406,6,127,0,-65.9751,0.364513,1.24747,0.215138,0.866697,1.34489,-0.223085,0.85165,0.0176079,0.364513,1.24747,1.34489,0.215138,0.866697,-0.223085,0,0,0,0,0,0,0.0329672,0.0496772,0.0741042,0.131134,0.219876,0.297517,0,0.0176079,6,1,-3.20478
68.34,0.992368,0.0560406,5,31,0,-66.3558,0.235433,1.5106,0.194242,0.978463,2.21784,0.15818,0.835488,0.0349527,0.235433,1.5106,2.21784,0.194242,0.978463,0.15818,0,0,0,0,0,0,0.0608774,0.0872029,0.123382,0.200928,0.309566,0.396914,0,0.0349527,6,1,0.067203
67.8871,0.9914,0.0560406,5,63,0,-65.5895,0.558403,1.02637,0.498274,0.572681,1.63644,-0.31872,0.744983,0.00204516,0.558403,1.02637,1.63644,0.498274,0.572681,-0.31872,0,0,0,0,0,0,0.0090073,0.0237617,0.0601071,0.196618,0.40076,0.494389,0,0.00204516,6,1,1.45475
62.634,0.966669,0.0560406,5,31,0,-60.8333,0.554236,0.534456,0.601967,0.631079,2.06026,-1.01982,0.713811,0.000521132,0.554236,0.534456,2.06026,0.601967,0.631079,-1.01982,0,0,0,0,0,0,0.00315813,0.0104054,0.0333989,0.160147,0.425479,0.551174,0,0.000521132,6,1,1.16397
66.9438,0.958735,0.0560406,5,63,0,-58.3583,0.969383,0.182934,0.258132,0.822693,2.13082,1.05002,0.856082,0.0486424,0.969383,0.182934,2.13082,0.258132,0.822693,1.05002,0,0,0,0,0,0,0.0986958,0.152988,0.227751,0.373239,0.529024,0.61798,0,0.0486424,6,1,5.02762
59.9327,0.98664,0.0560406,5,31,0,-58.1914,2.33321,0.0191142,0.51839,0.917437,1.51843,1.80714,0.956217,0.00112519,2.33321,0.0191142,1.51843,0.51839,0.917437,1.80714,0,0,0,0,0,0,0.00530459,0.0148039,0.0405579,0.164853,0.467137,0.683729,0,0.00112519,6,1,1.43078
63.4036,0.95546,0.0560406,5,63,0,-55.9845,2.21424,0.0120659,0.349984,0.628384,2.23636,2.35433,0.841117,0.0122393,2.21424,0.0120659,2.23636,0.349984,0.628384,2.35433,0,0,0,0,0,0,0.033753,0.0644586,0.117575,0.24932,0.410154,0.49705,0,0.0122393,6,1,2.41099
65.413,0.993499,0.0560406,6,63,0,-61.1469,1.71201,0.0656572,0.231927,0.90957,2.80527,1.65216,0.847668,0.0453874,1.71201,0.0656572,2.80527,0.231927,0.90957,1.65216,0,0,0,0,0,0,0.0866668,0.13048,0.191292,0.316648,0.470357,0.57306,0,0.0453874,6,1,4.12493
64.7953,0.779688,0.0560406,6,63,0,-57.4635,2.00688,0.171172,0.307853,0.916196,1.13365,-0.132684,0.650363,0.00915769,2.00688,0.171172,1.13365,0.307853,0.916196,-0.132684,0,0,0,0,0,0,0.0227167,0.041179,0.073413,0.16482,0.326015,0.463187,0,0.00915769,6,1,-1.13368
66.82,0.999835,0.0560406,5,31,0,-62.9661,1.32822,0.0786897,0.415896,0.704037,-0.174013,1.42753,0.748995,0.018596,1.32822,0.0786897,-0.174013,0.415896,0.704037,1.42753,0,0,0,0,0,0,0.0607725,0.125559,0.23426,0.446758,0.60413,0.656762,0,0.018596,6,1,7.56456
68.5864,0.988153,0.0560406,5,63,0,-64.3656,1.05029,0.121305,0.248247,0.82022,1.48769,-0.114766,0.838245,0.0189807,1.05029,0.121305,1.48769,0.248247,0.82022,-0.114766,0,0,0,0,0,0,0.038974,0.0621342,0.0973426,0.18121,0.306681,0.406209,0,0.0189807,6,1,-0.199181
65.8436,0.866913,0.0560406,5,31,0,-62.8292,0.46338,0.2783,0.351915,0.83929,1.11183,0.976504,0.675404,0.00684229,0.46338,0.2783,1.11183,0.351915,0.83929,0.976504,0,0,0,0,0,0,0.0193699,0.0382541,0.07389,0.182292,0.372359,0.517976,0,0.00684229,6,1,0.941417
65.7093,0.97666,0.0560406,5,31,0,-61.6452,0.69519,0.222933,0.381523,0.462294,0.815149,0.358335,0.669818,0.00534133,0.69519,0.222933,0.815149,0.381523,0.462294,0.358335,0,0,0,0,0,0,0.0163727,0.0337482,0.0668008,0.160249,0.288922,0.361231,0,0.00534133,6,1,-3.32647
71.9403,0.965447,0.0560406,5,31,0,-63.2337,1.20377,0.315004,0.446887,0.899531,2.00191,0.265488,0.757895,0.00261102,1.20377,0.315004,2.00191,0.446887,0.899531,0.265488,0,0,0,0,0,0,0.00989733,0.0238141,0.0560663,0.182217,0.443097,0.632839,0,0.00261102,6,1,2.64809
72.2966,0.991695,0.0560406,5,63,0,-71.1631,0.869009,0.366222,0.389641,1.08728,2.02688,0.31158,0.676543,0.00365845,0.869009,0.366222,2.02688,0.389641,1.08728,0.31158,0,0,0,0,0,0,0.0116878,0.0251591,0.0533873,0.15495,0.378912,0.585316,0,0.00365845,6,1,0.999332
