# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 4087703769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0.1,V0.2,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0148212
# Diagonal elements of inverse mass matrix:
# 0.0218095, 0.718346, 0.0215487, 0.0739149, 0.0149962, 0.31435, 0.0221287, 0.028735, 0.0363412
116.311,0.999104,0.0148212,7,191,0,-112.841,0.233511,1.22442,0.420252,0.851664,0.573992,0.845119,0.0081406,0.0275359,0.0136128,0.233511,1.22442,0.573992,0.420252,0.851664,0.845119
114.665,0.98031,0.0148212,6,127,0,-110.789,0.226153,1.88883,0.427317,0.807949,0.595885,0.807475,0.0096103,0.0293146,0.0132053,0.226153,1.88883,0.595885,0.427317,0.807949,0.807475
114.618,0.984262,0.0148212,7,127,0,-112.377,0.234125,2.16854,0.402518,1.04592,0.591329,1.01954,0.00905439,0.0266968,0.0166252,0.234125,2.16854,0.591329,0.402518,1.04592,1.01954
112.582,0.256449,0.0148212,7,127,0,-107.479,0.229864,2.41345,0.397585,1.19047,0.581332,1.05316,0.00920228,0.0270468,0.0167047,0.229864,2.41345,0.581332,0.397585,1.19047,1.05316
113.179,0.660587,0.0148212,7,127,0,-108.965,0.226525,2.9861,0.433877,1.13324,0.616125,1.24688,0.00928704,0.0288003,0.0144385,0.226525,2.9861,0.616125,0.433877,1.13324,1.24688
112.561,0.853844,0.0148212,8,255,0,-107.772,0.216181,0.986562,0.375636,0.628582,0.534174,0.258656,0.00908189,0.0324049,0.0153143,0.216181,0.986562,0.534174,0.375636,0.628582,0.258656
111.662,0.894538,0.0148212,8,255,0,-107.251,0.234022,0.571736,0.351915,0.579289,0.481366,0.0325995,0.00952217,0.029839,0.0167659,0.234022,0.571736,0.481366,0.351915,0.579289,0.0325995
108.253,0.990988,0.0148212,4,31,0,-104.908,0.236874,0.675362,0.356822,0.572829,0.488541,0.0584411,0.00960468,0.0295171,0.0170792,0.236874,0.675362,0.488541,0.356822,0.572829,0.0584411
104.126,0.940264,0.0148212,8,511,0,-100.016,0.309068,0.372374,0.36348,0.764513,0.520962,0.506571,0.00773275,0.0215253,0.0196163,0.309068,0.372374,0.520962,0.36348,0.764513,0.506571
110.946,0.992802,0.0148212,6,79,0,-98.8442,0.31212,0.331839,0.356083,0.687852,0.517275,0.264334,0.00674501,0.0232399,0.0171926,0.31212,0.331839,0.517275,0.356083,0.687852,0.264334
112.05,0.920678,0.0148212,7,249,0,-104.311,0.312576,0.287343,0.399669,0.819664,0.408832,0.670712,0.00781797,0.0211681,0.0142786,0.312576,0.287343,0.408832,0.399669,0.819664,0.670712
113.045,0.54265,0.0148212,8,255,0,-102.49,0.298248,2.16282,0.415038,0.770092,0.805479,0.713656,0.00863148,0.0180476,0.0132744,0.298248,2.16282,0.805479,0.415038,0.770092,0.713656
113.251,0.603824,0.0148212,8,255,0,-106.636,0.281845,1.99087,0.317326,0.536808,0.733438,-0.177544,0.0085873,0.0207634,0.0196458,0.281845,1.99087,0.733438,0.317326,0.536808,-0.177544
110.445,0.939353,0.0148212,8,383,0,-106.363,0.357949,0.26984,0.406427,1.02793,0.573598,1.02158,0.0092919,0.0192011,0.0157132,0.357949,0.26984,0.573598,0.406427,1.02793,1.02158
113.599,0.963364,0.0148212,7,255,0,-107.615,0.272023,0.459656,0.421167,1.00656,0.508744,1.08996,0.00880643,0.0236459,0.0149353,0.272023,0.459656,0.508744,0.421167,1.00656,1.08996
112.703,0.79217,0.0148212,8,319,0,-108.783,0.251054,0.646789,0.393004,0.908299,0.531657,0.767711,0.00962113,0.0247382,0.0149884,0.251054,0.646789,0.531657,0.393004,0.908299,0.767711
108.85,0.766361,0.0148212,8,255,0,-106.798,0.254091,3.93122,0.459748,0.905929,0.714287,1.16609,0.00731194,0.0240383,0.0123308,0.254091,3.93122,0.714287,0.459748,0.905929,1.16609
