# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = real_model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = real_data.R
# init = 2 (Default)
# random
#   seed = 4166733226
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0909249
# Diagonal elements of inverse mass matrix:
# 1.10562, 0.900138, 0.453338, 0.249102, 0.453292, 0.498811, 0.00542469, 2.92607
73.9002,0.992567,0.0909249,5,63,0,-62.761,1.01905,0.122741,1.20187,0.333081,2.07924,1.88777,1.0339,1.91706,1.01905,0.122741,2.07924,1.20187,0.333081,1.88777
75.4118,0.664511,0.0909249,5,63,0,-70.433,0.902686,0.289069,1.37986,0.359109,2.24195,2.52952,0.973221,1.01275,0.902686,0.289069,2.24195,1.37986,0.359109,2.52952
76.1885,0.99908,0.0909249,5,31,0,-74.556,0.710521,0.23398,1.44516,0.340565,1.69653,2.68247,0.911653,2.07638,0.710521,0.23398,1.69653,1.44516,0.340565,2.68247
75.4779,0.948957,0.0909249,5,63,0,-72.7116,0.944437,0.234008,1.27997,0.371122,2.05396,2.17701,0.95676,0.529957,0.944437,0.234008,2.05396,1.27997,0.371122,2.17701
72.5314,0.988611,0.0909249,4,23,0,-69.688,0.915868,0.184856,1.42439,0.360233,2.37132,2.91073,1.04104,1.08568,0.915868,0.184856,2.37132,1.42439,0.360233,2.91073
74.9757,0.936586,0.0909249,5,63,0,-67.5757,0.604522,0.124124,0.821395,0.346813,1.22802,0.59953,0.846113,1.11751,0.604522,0.124124,1.22802,0.821395,0.346813,0.59953
75.1894,0.998795,0.0909249,5,31,0,-73.5479,1.50362,0.230725,2.59971,0.23043,1.38586,0.358386,0.959836,1.61336,1.50362,0.230725,1.38586,2.59971,0.23043,0.358386
76.4151,0.968756,0.0909249,6,63,0,-71.0514,0.878126,0.164833,1.69655,0.373356,1.15818,1.47932,0.938152,1.37356,0.878126,0.164833,1.15818,1.69655,0.373356,1.47932
69.3147,0.930982,0.0909249,4,31,0,-65.6587,0.28598,0.165774,1.60949,0.238292,0.144416,1.956,0.869046,0.0217402,0.28598,0.165774,0.144416,1.60949,0.238292,1.956
72.525,1,0.0909249,5,31,0,-67.5174,0.903416,0.169889,0.99314,0.44175,1.01353,1.79442,0.984237,0.133682,0.903416,0.169889,1.01353,0.99314,0.44175,1.79442
